codigo,nombre,precio,cantidad_vendida,cantidad_stock,categoria,fecha_venta
1,Chaqueta de Tweed,44.95,16,32,Chaquetas,2023-11-23
2,Pantalones Cortos,19.95,24,48,Pantalones,2023-11-27
3,Zapatos de Vestir,54.99,18,35,Calzado,2023-11-24
4,Jeans Desgastados,34.95,18,28,Pantalones,2023-11-09
5,Chaqueta de Invierno,89.99,12,24,Chaquetas,2023-10-21
6,Vestido Elegante,69.99,12,24,Vestidos,2023-11-12
7,Camisa de Seda,59.95,12,24,Blusas,2023-09-12
8,Zapatos de Baile,59.95,22,45,Calzado,2023-11-19
9,Vestido de Noche,79.99,10,18,Vestidos,2023-11-10
10,Gorra de Invierno,9.99,18,36,Accesorios,2023-09-13
11,Chaqueta Vaquera,44.95,14,28,Chaquetas,2023-09-29
12,Pantalones Cortos de Mezclilla,19.95,16,32,Pantalones,2023-09-23
13,Jersey de Lana,54.95,10,20,Jerseys,2023-08-24
14,Zapatillas Deportivas,69.99,12,20,Calzado,2023-11-09
15,Zapatos Planos,39.99,12,24,Calzado,2023-09-01
16,Zapatos Oxford,54.99,20,40,Calzado,2023-09-20
17,Blusa de Rayas,24.95,22,44,Blusas,2023-09-15
18,Botas de MontaÃ±a,79.99,10,20,Calzado,2023-09-03
19,Falda de Tubo,39.99,16,32,Faldas,2023-09-11
20,Pantalones de Terciopelo,44.95,28,55,Pantalones,2023-09-13
21,Falda Midi,39.99,18,35,Faldas,2023-11-14
22,Zapatillas Deportivas,69.99,12,20,Calzado,2023-12-01
23,Gorra Deportiva,9.95,28,55,Accesorios,2023-11-16
24,Zapatos de Cuero,59.95,8,16,Calzado,2023-10-22
25,Zapatillas de Running,64.95,18,35,Calzado,2023-10-24
26,Zapatos Deportivos,69.99,10,20,Calzado,2023-10-20
27,Gorra de Invierno,9.99,18,36,Accesorios,2023-11-27
28,Pantalones de Mezclilla,34.95,10,20,Pantalones,2023-09-15
29,Chaqueta de Cuero,89.99,15,30,Chaquetas,2023-11-24
30,Camiseta Vintage,14.99,10,20,Blusas,2023-09-26
31,Jersey de Lana,49.95,12,24,Jerseys,2023-12-01
32,Chaqueta de Invierno,99.95,10,20,Chaquetas,2023-11-28
33,Chaqueta de Tweed,44.95,16,32,Chaquetas,2023-11-23
34,Chaqueta de AlgodÃ³n,29.99,20,40,Chaquetas,2023-09-12
35,Camiseta Estampada,19.99,20,40,Blusas,2023-11-13
36,Zapatos de Vestir,54.99,18,35,Calzado,2023-09-10
37,Blusa Estampada,29.99,16,32,Blusas,2023-09-19
38,Pantalones de Terciopelo,44.95,28,55,Pantalones,2023-09-13
39,Zapatos de Vestir,69.99,12,28,Calzado,2023-12-03
40,Pantalones de Mezclilla,34.95,10,20,Pantalones,2023-11-30
41,Chaqueta de Entretiempo,39.95,14,28,Chaquetas,2023-09-04
42,Falda de Mezclilla,29.95,14,28,Faldas,2023-10-12
43,Sombrero de Lana,14.99,20,40,Accesorios,2023-11-11
44,Chaqueta de AlgodÃ³n,29.99,20,40,Chaquetas,2023-10-18
45,Blusa de Encaje,29.99,15,30,Blusas,2023-11-27
46,Chaqueta de Cuero,89.95,12,22,Chaquetas,2023-11-05
47,Zapatos de Vestir,69.99,12,28,Calzado,2023-11-25
48,Camiseta a Rayas,24.99,16,32,Blusas,2023-11-15
49,Gafas de Sol,19.99,25,50,Accesorios,2023-09-04
50,Sandalias,24.99,15,30,Calzado,2023-09-06
51,Vestido de Noche,79.99,15,30,Vestidos,2023-10-10
52,Zapatos Planos,39.99,12,24,Calzado,2023-09-01
53,Chaleco de Mezclilla,29.95,15,30,Chaquetas,2023-09-24
54,Blusa Boho,24.99,20,40,Blusas,2023-10-28
55,Pantalones Chinos,39.95,12,24,Pantalones,2023-10-01
56,Sombrero de Pescador,9.99,28,55,Accesorios,2023-09-07
57,Blusa de AlgodÃ³n,29.99,12,24,Blusas,2023-11-02
58,Blusa de Seda,29.99,25,50,Blusas,2023-08-23
59,Chaqueta Bomber,44.95,14,28,Chaquetas,2023-10-26
60,Chaqueta de Invierno,99.95,8,15,Chaquetas,2023-11-08
61,Sombrero de Punto,12.99,20,40,Accesorios,2023-09-14
62,Falda Plisada,49.99,16,32,Faldas,2023-10-08
63,Blusa de Encaje,29.99,15,30,Blusas,2023-11-27
64,Corbata de Seda,12.99,22,45,Accesorios,2023-10-12
65,Pantalones de Mezclilla,34.95,10,20,Pantalones,2023-10-21
66,Chaqueta de Invierno,99.95,8,15,Chaquetas,2023-11-08
67,Corbata de Seda,14.99,16,32,Accesorios,2023-10-22
68,Blusa de Encaje,29.99,15,30,Blusas,2023-08-26
69,Blusa de Lino,29.99,12,24,Blusas,2023-11-16
70,Blusa a Rayas,19.99,25,40,Blusas,2023-11-09
71,Blusa Floral,24.99,20,40,Blusas,2023-08-31
72,Zapatos de Fiesta,59.99,20,40,Calzado,2023-11-14
73,Camisa de Cuadros,34.99,18,40,Blusas,2023-08-24
74,Chaqueta de AlgodÃ³n,29.99,20,40,Chaquetas,2023-09-12
75,Vestido Bohemio,49.99,18,35,Vestidos,2023-10-30
76,Gorra de Invierno,9.99,18,36,Accesorios,2023-09-13
77,Falda de Cuero,49.99,15,30,Faldas,2023-09-18
78,Blusa de AlgodÃ³n,29.99,10,20,Blusas,2023-11-21
