codigo,nombre,precio,cantidad_vendida,cantidad_stock,categoria,fecha_venta
1,Tomates,2.5,200,500,Verduras,2024-01-01
2,Cebollas,1.8,150,300,Verduras,2024-01-01
3,Huevos (docena),3.5,100,200,Huevos,2024-01-01
4,Carne de Res (kg),10.0,50,100,Carnes,2024-01-01
5,Carne de Pollo (kg),7.5,70,150,Carnes,2024-01-01
6,Carne de Cerdo (kg),8.5,30,80,Carnes,2024-01-01
7,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-01
8,Queso Fresco (kg),6.0,40,100,Lácteos,2024-01-01
9,Arroz (kg),2.0,120,250,Granos,2024-01-01
10,Frijoles (kg),1.5,100,200,Granos,2024-01-01
11,Papas,1.2,180,400,Verduras,2024-01-02
12,Plátanos,1.0,250,500,Frutas,2024-01-02
13,Pimientos,2.0,80,150,Verduras,2024-01-02
14,Huevos (docena),3.5,120,250,Huevos,2024-01-02
15,Carne de Pollo (kg),7.5,60,120,Carnes,2024-01-02
16,Leche Fresca (litro),1.2,350,700,Lácteos,2024-01-02
17,Queso Fresco (kg),6.0,50,120,Lácteos,2024-01-02
18,Arroz (kg),2.0,100,200,Granos,2024-01-02
19,Frijoles (kg),1.5,80,150,Granos,2024-01-02
20,Tomates,2.5,180,400,Verduras,2024-01-03
21,Cebollas,1.8,130,250,Verduras,2024-01-03
22,Huevos (docena),3.5,80,150,Huevos,2024-01-03
23,Carne de Res (kg),10.0,40,80,Carnes,2024-01-03
24,Carne de Cerdo (kg),8.5,25,60,Carnes,2024-01-03
25,Leche Fresca (litro),1.2,320,640,Lácteos,2024-01-03
26,Queso Fresco (kg),6.0,60,140,Lácteos,2024-01-03
27,Arroz (kg),2.0,90,180,Granos,2024-01-03
28,Frijoles (kg),1.5,70,130,Granos,2024-01-03
29,Papas,1.2,200,450,Verduras,2024-01-04
30,Plátanos,1.0,280,550,Frutas,2024-01-04
31,Pimientos,2.0,90,180,Verduras,2024-01-04
32,Huevos (docena),3.5,100,200,Huevos,2024-01-04
33,Carne de Res (kg),10.0,45,90,Carnes,2024-01-04
34,Carne de Pollo (kg),7.5,80,160,Carnes,2024-01-04
35,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-04
36,Queso Fresco (kg),6.0,55,130,Lácteos,2024-01-04
37,Arroz (kg),2.0,110,220,Granos,2024-01-04
38,Frijoles (kg),1.5,85,160,Granos,2024-01-04
39,Tomates,2.5,210,450,Verduras,2024-01-05
40,Cebollas,1.8,140,280,Verduras,2024-01-05
41,Huevos (docena),3.5,90,180,Huevos,2024-01-05
42,Carne de Res (kg),10.0,55,110,Carnes,2024-01-05
43,Carne de Cerdo (kg),8.5,35,90,Carnes,2024-01-05
44,Leche Fresca (litro),1.2,340,680,Lácteos,2024-01-05
45,Queso Fresco (kg),6.0,70,160,Lácteos,2024-01-05
46,Arroz (kg),2.0,130,260,Granos,2024-01-05
47,Frijoles (kg),1.5,100,180,Granos,2024-01-05
48,Papas,1.2,220,500,Verduras,2024-01-06
49,Plátanos,1.0,300,600,Frutas,2024-01-06
50,Pimientos,2.0,100,200,Verduras,2024-01-06
51,Huevos (docena),3.5,110,220,Huevos,2024-01-06
52,Carne de Res (kg),10.0,60,120,Carnes,2024-01-06
53,Leche Fresca (litro),1.2,360,720,Lácteos,2024-01-06
54,Queso Fresco (kg),6.0,80,180,Lácteos,2024-01-06
55,Arroz (kg),2.0,140,280,Granos,2024-01-06
56,Frijoles (kg),1.5,110,200,Granos,2024-01-06
57,Tomates,2.5,190,400,Verduras,2024-01-07
58,Cebollas,1.8,120,250,Verduras,2024-01-07
59,Huevos (docena),3.5,70,150,Huevos,2024-01-07
60,Carne de Pollo (kg),7.5,50,100,Carnes,2024-01-07
61,Leche Fresca (litro),1.2,320,640,Lácteos,2024-01-07
62,Queso Fresco (kg),6.0,60,140,Lácteos,2024-01-07
63,Arroz (kg),2.0,110,220,Granos,2024-01-07
64,Frijoles (kg),1.5,80,150,Granos,2024-01-07
65,Papas,1.2,180,400,Verduras,2024-01-08
66,Plátanos,1.0,250,500,Frutas,2024-01-08
67,Pimientos,2.0,80,160,Verduras,2024-01-08
68,Huevos (docena),3.5,100,200,Huevos,2024-01-08
69,Carne de Res (kg),10.0,40,80,Carnes,2024-01-08
70,Carne de Cerdo (kg),8.5,25,60,Carnes,2024-01-08
71,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-08
72,Queso Fresco (kg),6.0,50,120,Lácteos,2024-01-08
73,Arroz (kg),2.0,100,200,Granos,2024-01-08
74,Frijoles (kg),1.5,80,160,Granos,2024-01-08
75,Tomates,2.5,210,450,Verduras,2024-01-09
76,Cebollas,1.8,130,250,Verduras,2024-01-09
77,Huevos (docena),3.5,90,180,Huevos,2024-01-09
78,Carne de Res (kg),10.0,55,110,Carnes,2024-01-09
79,Carne de Cerdo (kg),8.5,35,90,Carnes,2024-01-09
80,Leche Fresca (litro),1.2,340,680,Lácteos,2024-01-09
81,Queso Fresco (kg),6.0,70,160,Lácteos,2024-01-09
82,Arroz (kg),2.0,130,260,Granos,2024-01-09
83,Frijoles (kg),1.5,100,180,Granos,2024-01-09
84,Papas,1.2,220,500,Verduras,2024-01-10
85,Plátanos,1.0,300,600,Frutas,2024-01-10
86,Pimientos,2.0,100,200,Verduras,2024-01-10
87,Huevos (docena),3.5,110,220,Huevos,2024-01-10
88,Carne de Res (kg),10.0,60,120,Carnes,2024-01-10
89,Leche Fresca (litro),1.2,360,720,Lácteos,2024-01-10
90,Queso Fresco (kg),6.0,80,180,Lácteos,2024-01-10
91,Arroz (kg),2.0,140,280,Granos,2024-01-10
92,Frijoles (kg),1.5,110,200,Granos,2024-01-10
93,Tomates,2.5,190,400,Verduras,2024-01-11
94,Cebollas,1.8,120,250,Verduras,2024-01-11
95,Huevos (docena),3.5,70,150,Huevos,2024-01-11
96,Carne de Pollo (kg),7.5,50,100,Carnes,2024-01-11
97,Leche Fresca (litro),1.2,320,640,Lácteos,2024-01-11
98,Queso Fresco (kg),6.0,60,140,Lácteos,2024-01-11
99,Arroz (kg),2.0,110,220,Granos,2024-01-11
100,Frijoles (kg),1.5,80,150,Granos,2024-01-11
101,Tomates,2.5,200,500,Verduras,2024-01-12
102,Cebollas,1.8,150,300,Verduras,2024-01-12
103,Huevos (docena),3.5,100,200,Huevos,2024-01-12
104,Carne de Res (kg),10.0,50,100,Carnes,2024-01-12
105,Carne de Pollo (kg),7.5,70,150,Carnes,2024-01-12
106,Carne de Cerdo (kg),8.5,30,80,Carnes,2024-01-12
107,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-12
108,Queso Fresco (kg),6.0,40,100,Lácteos,2024-01-12
109,Arroz (kg),2.0,120,250,Granos,2024-01-12
110,Frijoles (kg),1.5,100,200,Granos,2024-01-12
111,Papas,1.2,180,400,Verduras,2024-01-13
112,Plátanos,1.0,250,500,Frutas,2024-01-13
113,Pimientos,2.0,80,150,Verduras,2024-01-13
114,Huevos (docena),3.5,120,250,Huevos,2024-01-13
115,Carne de Pollo (kg),7.5,60,120,Carnes,2024-01-13
116,Leche Fresca (litro),1.2,350,700,Lácteos,2024-01-13
117,Queso Fresco (kg),6.0,50,120,Lácteos,2024-01-13
118,Arroz (kg),2.0,100,200,Granos,2024-01-13
119,Frijoles (kg),1.5,80,150,Granos,2024-01-13
120,Tomates,2.5,180,400,Verduras,2024-01-14
121,Cebollas,1.8,130,250,Verduras,2024-01-14
122,Huevos (docena),3.5,80,150,Huevos,2024-01-14
123,Carne de Res (kg),10.0,40,80,Carnes,2024-01-14
124,Carne de Cerdo (kg),8.5,25,60,Carnes,2024-01-14
125,Leche Fresca (litro),1.2,320,640,Lácteos,2024-01-14
126,Queso Fresco (kg),6.0,60,140,Lácteos,2024-01-14
127,Arroz (kg),2.0,90,180,Granos,2024-01-14
128,Frijoles (kg),1.5,70,130,Granos,2024-01-14
129,Papas,1.2,200,450,Verduras,2024-01-15
130,Plátanos,1.0,280,550,Frutas,2024-01-15
131,Pimientos,2.0,90,180,Verduras,2024-01-15
132,Huevos (docena),3.5,100,200,Huevos,2024-01-15
133,Carne de Res (kg),10.0,45,90,Carnes,2024-01-15
134,Carne de Pollo (kg),7.5,80,160,Carnes,2024-01-15
135,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-15
136,Queso Fresco (kg),6.0,55,130,Lácteos,2024-01-15
137,Arroz (kg),2.0,110,220,Granos,2024-01-15
138,Frijoles (kg),1.5,85,160,Granos,2024-01-15
139,Tomates,2.5,210,450,Verduras,2024-01-16
140,Cebollas,1.8,140,280,Verduras,2024-01-16
141,Huevos (docena),3.5,90,180,Huevos,2024-01-16
142,Carne de Res (kg),10.0,55,110,Carnes,2024-01-16
143,Carne de Cerdo (kg),8.5,35,90,Carnes,2024-01-16
144,Leche Fresca (litro),1.2,340,680,Lácteos,2024-01-16
145,Queso Fresco (kg),6.0,70,160,Lácteos,2024-01-16
146,Arroz (kg),2.0,130,260,Granos,2024-01-16
147,Frijoles (kg),1.5,100,180,Granos,2024-01-16
148,Papas,1.2,220,500,Verduras,2024-01-17
149,Plátanos,1.0,300,600,Frutas,2024-01-17
150,Pimientos,2.0,100,200,Verduras,2024-01-17
151,Huevos (docena),3.5,110,220,Huevos,2024-01-17
152,Carne de Res (kg),10.0,60,120,Carnes,2024-01-17
153,Leche Fresca (litro),1.2,360,720,Lácteos,2024-01-17
154,Queso Fresco (kg),6.0,80,180,Lácteos,2024-01-17
155,Arroz (kg),2.0,140,280,Granos,2024-01-17
156,Frijoles (kg),1.5,110,200,Granos,2024-01-17
157,Tomates,2.5,190,400,Verduras,2024-01-18
158,Cebollas,1.8,120,250,Verduras,2024-01-18
159,Huevos (docena),3.5,70,150,Huevos,2024-01-18
160,Carne de Pollo (kg),7.5,50,100,Carnes,2024-01-18
161,Leche Fresca (litro),1.2,320,640,Lácteos,2024-01-18
162,Queso Fresco (kg),6.0,60,140,Lácteos,2024-01-18
163,Arroz (kg),2.0,110,220,Granos,2024-01-18
164,Frijoles (kg),1.5,80,150,Granos,2024-01-18
165,Papas,1.2,180,400,Verduras,2024-01-19
166,Plátanos,1.0,250,500,Frutas,2024-01-19
167,Pimientos,2.0,80,160,Verduras,2024-01-19
168,Huevos (docena),3.5,100,200,Huevos,2024-01-19
169,Carne de Res (kg),10.0,40,80,Carnes,2024-01-19
170,Carne de Cerdo (kg),8.5,25,60,Carnes,2024-01-19
171,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-19
172,Queso Fresco (kg),6.0,50,120,Lácteos,2024-01-19
173,Arroz (kg),2.0,100,200,Granos,2024-01-19
174,Frijoles (kg),1.5,80,160,Granos,2024-01-19
175,Tomates,2.5,200,500,Verduras,2024-01-20
176,Cebollas,1.8,150,300,Verduras,2024-01-20
177,Huevos (docena),3.5,100,200,Huevos,2024-01-20
178,Carne de Res (kg),10.0,50,100,Carnes,2024-01-20
179,Carne de Pollo (kg),7.5,70,150,Carnes,2024-01-20
180,Carne de Cerdo (kg),8.5,30,80,Carnes,2024-01-20
181,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-20
182,Queso Fresco (kg),6.0,40,100,Lácteos,2024-01-20
183,Arroz (kg),2.0,120,250,Granos,2024-01-20
184,Frijoles (kg),1.5,100,200,Granos,2024-01-20
185,Papas,1.2,180,400,Verduras,2024-01-21
186,Plátanos,1.0,250,500,Frutas,2024-01-21
187,Pimientos,2.0,80,150,Verduras,2024-01-21
188,Huevos (docena),3.5,120,250,Huevos,2024-01-21
189,Carne de Pollo (kg),7.5,60,120,Carnes,2024-01-21
190,Leche Fresca (litro),1.2,350,700,Lácteos,2024-01-21
191,Queso Fresco (kg),6.0,50,120,Lácteos,2024-01-21
192,Arroz (kg),2.0,100,200,Granos,2024-01-21
193,Frijoles (kg),1.5,80,150,Granos,2024-01-21
194,Tomates,2.5,180,400,Verduras,2024-01-22
195,Cebollas,1.8,130,250,Verduras,2024-01-22
196,Huevos (docena),3.5,80,150,Huevos,2024-01-22
197,Carne de Res (kg),10.0,40,80,Carnes,2024-01-22
198,Carne de Cerdo (kg),8.5,25,60,Carnes,2024-01-22
199,Leche Fresca (litro),1.2,320,640,Lácteos,2024-01-22
200,Queso Fresco (kg),6.0,60,140,Lácteos,2024-01-22
201,Arroz (kg),2.0,90,180,Granos,2024-01-22
202,Frijoles (kg),1.5,70,130,Granos,2024-01-22
203,Papas,1.2,200,450,Verduras,2024-01-23
204,Plátanos,1.0,280,550,Frutas,2024-01-23
205,Pimientos,2.0,90,180,Verduras,2024-01-23
206,Huevos (docena),3.5,100,200,Huevos,2024-01-23
207,Carne de Res (kg),10.0,45,90,Carnes,2024-01-23
208,Carne de Pollo (kg),7.5,80,160,Carnes,2024-01-23
209,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-23
210,Queso Fresco (kg),6.0,55,130,Lácteos,2024-01-23
211,Arroz (kg),2.0,110,220,Granos,2024-01-23
212,Frijoles (kg),1.5,85,160,Granos,2024-01-23
213,Tomates,2.5,210,450,Verduras,2024-01-24
214,Cebollas,1.8,140,280,Verduras,2024-01-24
215,Huevos (docena),3.5,90,180,Huevos,2024-01-24
216,Carne de Res (kg),10.0,55,110,Carnes,2024-01-24
217,Carne de Cerdo (kg),8.5,35,90,Carnes,2024-01-24
218,Leche Fresca (litro),1.2,340,680,Lácteos,2024-01-24
219,Queso Fresco (kg),6.0,70,160,Lácteos,2024-01-24
220,Arroz (kg),2.0,130,260,Granos,2024-01-24
221,Frijoles (kg),1.5,100,180,Granos,2024-01-24
222,Papas,1.2,220,500,Verduras,2024-01-25
223,Plátanos,1.0,300,600,Frutas,2024-01-25
224,Pimientos,2.0,100,200,Verduras,2024-01-25
225,Huevos (docena),3.5,110,220,Huevos,2024-01-25
226,Carne de Res (kg),10.0,60,120,Carnes,2024-01-25
227,Leche Fresca (litro),1.2,360,720,Lácteos,2024-01-25
228,Queso Fresco (kg),6.0,80,180,Lácteos,2024-01-25
229,Arroz (kg),2.0,140,280,Granos,2024-01-25
230,Frijoles (kg),1.5,110,200,Granos,2024-01-25
231,Tomates,2.5,190,400,Verduras,2024-01-26
232,Cebollas,1.8,120,250,Verduras,2024-01-26
233,Huevos (docena),3.5,70,150,Huevos,2024-01-26
234,Carne de Pollo (kg),7.5,50,100,Carnes,2024-01-26
235,Leche Fresca (litro),1.2,320,640,Lácteos,2024-01-26
236,Queso Fresco (kg),6.0,60,140,Lácteos,2024-01-26
237,Arroz (kg),2.0,110,220,Granos,2024-01-26
238,Frijoles (kg),1.5,80,150,Granos,2024-01-26
239,Papas,1.2,180,400,Verduras,2024-01-27
240,Plátanos,1.0,250,500,Frutas,2024-01-27
241,Pimientos,2.0,80,160,Verduras,2024-01-27
242,Huevos (docena),3.5,100,200,Huevos,2024-01-27
243,Carne de Res (kg),10.0,40,80,Carnes,2024-01-27
244,Carne de Cerdo (kg),8.5,25,60,Carnes,2024-01-27
245,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-27
246,Queso Fresco (kg),6.0,50,120,Lácteos,2024-01-27
247,Arroz (kg),2.0,100,200,Granos,2024-01-27
248,Frijoles (kg),1.5,80,160,Granos,2024-01-27
249,Tomates,2.5,200,500,Verduras,2024-01-28
250,Cebollas,1.8,150,300,Verduras,2024-01-28
251,Huevos (docena),3.5,100,200,Huevos,2024-01-28
252,Carne de Res (kg),10.0,50,100,Carnes,2024-01-28
253,Carne de Pollo (kg),7.5,70,150,Carnes,2024-01-28
254,Carne de Cerdo (kg),8.5,30,80,Carnes,2024-01-28
255,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-28
256,Queso Fresco (kg),6.0,40,100,Lácteos,2024-01-28
257,Arroz (kg),2.0,120,250,Granos,2024-01-28
258,Frijoles (kg),1.5,100,200,Granos,2024-01-28
259,Papas,1.2,180,400,Verduras,2024-01-29
260,Plátanos,1.0,250,500,Frutas,2024-01-29
261,Pimientos,2.0,80,150,Verduras,2024-01-29
262,Huevos (docena),3.5,120,250,Huevos,2024-01-29
263,Carne de Res (kg),10.0,60,120,Carnes,2024-01-29
264,Leche Fresca (litro),1.2,350,700,Lácteos,2024-01-29
265,Queso Fresco (kg),6.0,50,120,Lácteos,2024-01-29
266,Arroz (kg),2.0,100,200,Granos,2024-01-29
267,Frijoles (kg),1.5,80,150,Granos,2024-01-29
268,Tomates,2.5,190,400,Verduras,2024-01-30
269,Cebollas,1.8,120,250,Verduras,2024-01-30
270,Huevos (docena),3.5,70,150,Huevos,2024-01-30
271,Carne de Pollo (kg),7.5,50,100,Carnes,2024-01-30
272,Leche Fresca (litro),1.2,320,640,Lácteos,2024-01-30
273,Queso Fresco (kg),6.0,60,140,Lácteos,2024-01-30
274,Arroz (kg),2.0,110,220,Granos,2024-01-30
275,Frijoles (kg),1.5,80,150,Granos,2024-01-30
276,Papas,1.2,180,400,Verduras,2024-01-31
277,Plátanos,1.0,250,500,Frutas,2024-01-31
278,Pimientos,2.0,80,160,Verduras,2024-01-31
279,Huevos (docena),3.5,100,200,Huevos,2024-01-31
280,Carne de Res (kg),10.0,40,80,Carnes,2024-01-31
281,Carne de Cerdo (kg),8.5,25,60,Carnes,2024-01-31
282,Leche Fresca (litro),1.2,300,600,Lácteos,2024-01-31
283,Queso Fresco (kg),6.0,50,120,Lácteos,2024-01-31
284,Arroz (kg),2.0,100,200,Granos,2024-01-31
285,Frijoles (kg),1.5,80,160,Granos,2024-01-31
286,Tomates,2.5,200,500,Verduras,2024-02-01
287,Cebollas,1.8,150,300,Verduras,2024-02-01
288,Huevos (docena),3.5,100,200,Huevos,2024-02-01
289,Carne de Res (kg),10.0,50,100,Carnes,2024-02-01
290,Carne de Pollo (kg),7.5,70,150,Carnes,2024-02-01
291,Carne de Cerdo (kg),8.5,30,80,Carnes,2024-02-01
292,Leche Fresca (litro),1.2,300,600,Lácteos,2024-02-01
293,Queso Fresco (kg),6.0,40,100,Lácteos,2024-02-01
294,Arroz (kg),2.0,120,250,Granos,2024-02-01
295,Frijoles (kg),1.5,100,200,Granos,2024-02-01
296,Papas,1.2,180,400,Verduras,2024-02-02
297,Plátanos,1.0,250,500,Frutas,2024-02-02
298,Pimientos,2.0,100,200,Verduras,2024-02-02
299,Huevos (docena),3.5,110,220,Huevos,2024-02-02
300,Carne de Res (kg),10.0,60,120,Carnes,2024-02-02
301,Leche Fresca (litro),1.2,360,720,Lácteos,2024-02-02
302,Queso Fresco (kg),6.0,80,180,Lácteos,2024-02-02
303,Arroz (kg),2.0,140,280,Granos,2024-02-02
304,Frijoles (kg),1.5,110,200,Granos,2024-02-02
305,Tomates,2.5,190,400,Verduras,2024-02-03
306,Cebollas,1.8,130,250,Verduras,2024-02-03
307,Huevos (docena),3.5,70,150,Huevos,2024-02-03
308,Carne de Pollo (kg),7.5,50,100,Carnes,2024-02-03
309,Leche Fresca (litro),1.2,320,640,Lácteos,2024-02-03
310,Queso Fresco (kg),6.0,60,140,Lácteos,2024-02-03
311,Arroz (kg),2.0,110,220,Granos,2024-02-03
312,Frijoles (kg),1.5,80,150,Granos,2024-02-03
313,Papas,1.2,180,400,Verduras,2024-02-04
314,Plátanos,1.0,250,500,Frutas,2024-02-04
315,Pimientos,2.0,80,160,Verduras,2024-02-04
316,Huevos (docena),3.5,100,200,Huevos,2024-02-04
317,Carne de Res (kg),10.0,40,80,Carnes,2024-02-04
318,Carne de Cerdo (kg),8.5,25,60,Carnes,2024-02-04
319,Leche Fresca (litro),1.2,300,600,Lácteos,2024-02-04
320,Queso Fresco (kg),6.0,50,120,Lácteos,2024-02-04
321,Arroz (kg),2.0,100,200,Granos,2024-02-04
322,Frijoles (kg),1.5,80,160,Granos,2024-02-04
323,Tomates,2.5,200,500,Verduras,2024-02-05
324,Cebollas,1.8,150,300,Verduras,2024-02-05
325,Huevos (docena),3.5,100,200,Huevos,2024-02-05
326,Carne de Res (kg),10.0,50,100,Carnes,2024-02-05
327,Carne de Pollo (kg),7.5,70,150,Carnes,2024-02-05
328,Carne de Cerdo (kg),8.5,30,80,Carnes,2024-02-05
329,Leche Fresca (litro),1.2,300,600,Lácteos,2024-02-05
330,Queso Fresco (kg),6.0,40,100,Lácteos,2024-02-05
331,Arroz (kg),2.0,120,250,Granos,2024-02-05
332,Tomates,2.5,180,380,Verduras,2024-02-02
333,Cebollas,1.8,130,270,Verduras,2024-02-02
334,Huevos (docena),3.5,80,170,Huevos,2024-02-02
335,Carne de Res (kg),10.0,60,120,Carnes,2024-02-02
336,Carne de Cerdo (kg),8.5,40,100,Carnes,2024-02-02
337,Leche Fresca (litro),1.2,320,640,Lácteos,2024-02-02
338,Queso Fresco (kg),6.0,65,150,Lácteos,2024-02-02
339,Arroz (kg),2.0,120,240,Granos,2024-02-02
340,Frijoles (kg),1.5,90,170,Granos,2024-02-02
341,Papas,1.2,200,480,Verduras,2024-02-03
342,Plátanos,1.0,270,550,Frutas,2024-02-03
343,Pimientos,2.0,110,220,Verduras,2024-02-03
344,Huevos (docena),3.5,100,200,Huevos,2024-02-03
345,Carne de Pollo (kg),7.5,60,120,Carnes,2024-02-03
346,Leche Fresca (litro),1.2,300,600,Lácteos,2024-02-03
347,Queso Fresco (kg),6.0,60,140,Lácteos,2024-02-03
348,Arroz (kg),2.0,130,260,Granos,2024-02-03
349,Frijoles (kg),1.5,80,150,Granos,2024-02-03
350,Tomates,2.5,190,400,Verduras,2024-02-04
351,Cebollas,1.8,140,280,Verduras,2024-02-04
352,Huevos (docena),3.5,90,180,Huevos,2024-02-04
353,Carne de Res (kg),10.0,55,110,Carnes,2024-02-04
354,Carne de Cerdo (kg),8.5,35,90,Carnes,2024-02-04
355,Leche Fresca (litro),1.2,340,680,Lácteos,2024-02-04
356,Queso Fresco (kg),6.0,70,160,Lácteos,2024-02-04
357,Arroz (kg),2.0,130,260,Granos,2024-02-04
358,Frijoles (kg),1.5,100,180,Granos,2024-02-04
359,Papas,1.2,180,400,Verduras,2024-02-05
360,Plátanos,1.0,250,500,Frutas,2024-02-05
361,Pimientos,2.0,90,180,Verduras,2024-02-05
362,Huevos (docena),3.5,70,150,Huevos,2024-02-05
363,Carne de Pollo (kg),7.5,50,100,Carnes,2024-02-05
364,Leche Fresca (litro),1.2,320,640,Lácteos,2024-02-05
365,Queso Fresco (kg),6.0,55,130,Lácteos,2024-02-05
366,Arroz (kg),2.0,110,220,Granos,2024-02-05
367,Frijoles (kg),1.5,85,160,Granos,2024-02-05
368,Tomates,2.5,200,420,Verduras,2024-02-06
369,Cebollas,1.8,150,300,Verduras,2024-02-06
370,Huevos (docena),3.5,95,190,Huevos,2024-02-06
371,Carne de Res (kg),10.0,50,100,Carnes,2024-02-06
372,Carne de Cerdo (kg),8.5,30,80,Carnes,2024-02-06
373,Leche Fresca (litro),1.2,360,720,Lácteos,2024-02-06
374,Queso Fresco (kg),6.0,75,170,Lácteos,2024-02-06
375,Arroz (kg),2.0,140,280,Granos,2024-02-06
376,Frijoles (kg),1.5,110,200,Granos,2024-02-06
377,Papas,1.2,160,360,Verduras,2024-02-07
378,Plátanos,1.0,230,460,Frutas,2024-02-07
379,Pimientos,2.0,100,200,Verduras,2024-02-07
380,Huevos (docena),3.5,80,160,Huevos,2024-02-07
381,Carne de Pollo (kg),7.5,45,90,Carnes,2024-02-07
382,Leche Fresca (litro),1.2,340,680,Lácteos,2024-02-07
383,Queso Fresco (kg),6.0,60,140,Lácteos,2024-02-07
384,Arroz (kg),2.0,120,240,Granos,2024-02-07
385,Frijoles (kg),1.5,95,170,Granos,2024-02-07
386,Tomates,2.5,210,440,Verduras,2024-02-08
387,Cebollas,1.8,160,320,Verduras,2024-02-08
388,Huevos (docena),3.5,85,170,Huevos,2024-02-08
389,Carne de Res (kg),10.0,45,90,Carnes,2024-02-08
390,Carne de Cerdo (kg),8.5,25,70,Carnes,2024-02-08
391,Leche Fresca (litro),1.2,380,760,Lácteos,2024-02-08
392,Queso Fresco (kg),6.0,80,180,Lácteos,2024-02-08
393,Arroz (kg),2.0,150,300,Granos,2024-02-08
394,Frijoles (kg),1.5,120,220,Granos,2024-02-08
395,Papas,1.2,140,320,Verduras,2024-02-09
396,Plátanos,1.0,210,420,Frutas,2024-02-09
397,Pimientos,2.0,80,160,Verduras,2024-02-09
398,Huevos (docena),3.5,75,150,Huevos,2024-02-09
399,Carne de Pollo (kg),7.5,40,80,Carnes,2024-02-09
400,Leche Fresca (litro),1.2,360,720,Lácteos,2024-02-09
401,Queso Fresco (kg),6.0,65,150,Lácteos,2024-02-09
402,Arroz (kg),2.0,130,260,Granos,2024-02-09
403,Frijoles (kg),1.5,100,180,Granos,2024-02-09
404,Tomates,2.5,220,460,Verduras,2024-02-10
405,Cebollas,1.8,170,340,Verduras,2024-02-10
406,Huevos (docena),3.5,90,180,Huevos,2024-02-10
407,Carne de Res (kg),10.0,40,80,Carnes,2024-02-10
408,Carne de Cerdo (kg),8.5,20,60,Carnes,2024-02-10
409,Leche Fresca (litro),1.2,400,800,Lácteos,2024-02-10
410,Queso Fresco (kg),6.0,85,190,Lácteos,2024-02-10
411,Arroz (kg),2.0,160,320,Granos,2024-02-10
412,Frijoles (kg),1.5,130,240,Granos,2024-02-10
413,Papas,1.2,120,280,Verduras,2024-02-11
414,Plátanos,1.0,190,380,Frutas,2024-02-11
415,Pimientos,2.0,70,140,Verduras,2024-02-11
416,Huevos (docena),3.5,80,160,Huevos,2024-02-11
417,Carne de Pollo (kg),7.5,35,70,Carnes,2024-02-11
418,Leche Fresca (litro),1.2,380,760,Lácteos,2024-02-11
419,Queso Fresco (kg),6.0,70,160,Lácteos,2024-02-11
420,Arroz (kg),2.0,140,280,Granos,2024-02-11
421,Frijoles (kg),1.5,110,200,Granos,2024-02-11
422,Tomates,2.5,230,480,Verduras,2024-02-12
423,Cebollas,1.8,180,360,Verduras,2024-02-12
424,Huevos (docena),3.5,95,190,Huevos,2024-02-12
425,Carne de Res (kg),10.0,35,70,Carnes,2024-02-12
426,Carne de Cerdo (kg),8.5,15,50,Carnes,2024-02-12
427,Leche Fresca (litro),1.2,420,840,Lácteos,2024-02-12
