codigo,nombre,precio,cantidad_vendida,cantidad_stock,categoria,fecha_venta
1,Computadora portátil,799.99,50,20,Tecnología,2024-01-01
2,Teléfono inteligente,499.99,100,30,Tecnología,2024-01-02
3,Impresora multifunción,299.99,30,10,Tecnología,2024-01-03
4,Teclado inalámbrico,49.99,80,40,Tecnología,2024-01-04
5,Ratón óptico,19.99,120,60,Tecnología,2024-01-05
6,Cámara de seguridad,129.99,40,15,Tecnología,2024-01-06
7,Auriculares Bluetooth,79.99,70,25,Tecnología,2024-01-07
8,Smartwatch,149.99,60,20,Tecnología,2024-01-08
9,Mochila para portátil,39.99,90,50,Accesorios,2024-01-09
10,Memoria USB,14.99,150,80,Accesorios,2024-01-10
11,Disco duro externo,99.99,45,20,Almacenamiento,2024-01-11
12,SSD interno,129.99,30,10,Almacenamiento,2024-01-12
13,Router Wi-Fi,79.99,50,25,Redes,2024-01-13
14,Switch Ethernet,49.99,40,15,Redes,2024-01-14
15,Monitor de computadora,199.99,35,10,Periféricos,2024-01-15
16,Tarjeta gráfica,299.99,25,5,Componentes,2024-01-16
17,Procesador,399.99,20,8,Componentes,2024-01-17
18,Módulo de memoria RAM,79.99,60,25,Componentes,2024-01-18
19,Funda para teléfono,9.99,200,100,Accesorios,2024-01-19
20,Adaptador USB-C a HDMI,19.99,80,30,Accesorios,2024-01-20
21,Estuche para disco duro externo,14.99,120,60,Accesorios,2024-01-21
22,Caja de almacenamiento para SSD,29.99,50,20,Accesorios,2024-01-22
23,Kit de limpieza para computadora,9.99,100,50,Accesorios,2024-01-23
24,Batería externa para teléfono,39.99,70,25,Accesorios,2024-01-24
25,Altavoces Bluetooth,99.99,40,15,Audio,2024-01-25
26,Auriculares con cancelación de ruido,199.99,30,10,Audio,2024-01-26
27,Barra de sonido,149.99,35,10,Audio,2024-01-27
28,Grabadora de voz digital,59.99,50,20,Audio,2024-01-28
29,Micrófono USB,69.99,40,15,Audio,2024-01-29
30,Equipo de sonido estéreo,299.99,25,5,Audio,2024-01-30
31,Teclado mecánico para gaming,129.99,30,10,Periféricos,2024-01-31
32,Ratón para gaming,79.99,40,15,Periféricos,2024-02-01
33,Monitor curvo,299.99,25,5,Periféricos,2024-02-02
34,Alfombrilla para ratón,9.99,150,80,Periféricos,2024-02-03
35,Base de refrigeración para portátil,19.99,80,30,Periféricos,2024-02-04
36,Lámpara LED USB,14.99,100,50,Periféricos,2024-02-05
37,Cargador inalámbrico,29.99,70,25,Accesorios,2024-02-06
38,Soporte para teléfono,9.99,200,100,Accesorios,2024-02-07
39,Funda para tablet,19.99,80,30,Accesorios,2024-02-08
40,Base de carga para smartwatch,14.99,120,60,Accesorios,2024-02-09
41,Cable USB-C,9.99,150,80,Accesorios,2024-02-10
42,Cable HDMI,14.99,100,50,Accesorios,2024-02-11
43,Cable de red Ethernet,9.99,200,100,Accesorios,2024-02-12
44,Router de gama alta,199.99,25,5,Redes,2024-02-13
45,Extensor de señal Wi-Fi,49.99,30,10,Redes,2024-02-14
46,Conmutador de red,299.99,20,8,Redes,2024-02-15
47,Switch de administración,399.99,15,5,Redes,2024-02-16
48,Unidad de almacenamiento en red,499.99,10,3,Redes,2024-02-17
49,Memoria RAM DDR4,99.99,30,10,Componentes,2024-02-18
