codigo,nombre,precio,cantidad_vendida,cantidad_stock,categoria,fecha_venta
1,Blusa Casual,24.99,18,30,Blusas,2023-11-04
2,Pantalones de Mezclilla,39.95,15,25,Pantalones,2023-11-04
3,Zapatos Deportivos,59.99,10,18,Calzado,2023-11-04
4,Vestido Floral,34.99,20,35,Vestidos,2023-11-05
5,Chaqueta de Cuero,89.95,12,22,Chaquetas,2023-11-05
6,Corbata Rayada,12.99,25,40,Accesorios,2023-11-05
7,Pantalones Cortos,19.95,15,28,Pantalones,2023-11-06
8,Sudadera con Capucha,29.99,18,30,Jerseys,2023-11-06
9,Zapatos de TacÃ³n,54.95,10,15,Calzado,2023-11-06
10,Falda Plisada,39.99,16,32,Faldas,2023-11-07
11,Blusa de Encaje,29.95,14,25,Blusas,2023-11-07
12,Sombrero de Paja,14.99,22,38,Accesorios,2023-11-07
13,Chaqueta de Invierno,99.95,8,15,Chaquetas,2023-11-08
14,Vestido de Verano,49.99,20,35,Vestidos,2023-11-08
15,Pantalones Elegantes,44.95,12,20,Pantalones,2023-11-08
16,Blusa a Rayas,19.99,25,40,Blusas,2023-11-09
17,Jeans Desgastados,34.95,18,28,Pantalones,2023-11-09
18,Zapatillas Deportivas,69.99,12,20,Calzado,2023-11-09
19,Blazer Formal,59.95,15,25,Chaquetas,2023-11-10
20,Vestido de Noche,79.99,10,18,Vestidos,2023-11-10
21,Chaqueta de Cuero,89.99,15,30,Chaquetas,2023-08-22
22,Pantalones Vaqueros,49.95,20,40,Pantalones,2023-08-22
23,Zapatos de Vestir,69.99,12,28,Calzado,2023-08-22
24,Falda Plisada,39.95,18,35,Faldas,2023-08-23
25,Blusa de Seda,29.99,25,50,Blusas,2023-08-23
26,Corbata de Lunares,14.99,30,55,Accesorios,2023-08-23
27,Jersey de Lana,54.95,10,20,Jerseys,2023-08-24
28,Camisa de Cuadros,34.99,18,40,Blusas,2023-08-24
29,Zapatos Deportivos,59.95,22,45,Calzado,2023-08-24
30,Vestido de Noche,79.99,8,15,Vestidos,2023-08-25
31,Chaqueta de Punto,44.95,14,28,Chaquetas,2023-08-25
32,Sombrero de Paja,9.99,30,60,Accesorios,2023-08-25
33,Pantalones Cortos,19.95,24,48,Pantalones,2023-08-26
34,Blusa de Encaje,29.99,15,30,Blusas,2023-08-26
35,Botas de Cuero,79.95,10,20,Calzado,2023-08-26
36,Traje de BaÃ±o,39.99,18,35,Vestidos,2023-08-27
37,Corbata de Seda,14.99,22,45,Accesorios,2023-08-27
38,Chaqueta de Invierno,99.95,10,20,Chaquetas,2023-08-27
39,Vestido de Verano,49.99,20,40,Vestidos,2023-08-28
40,Gorra de BÃ©isbol,9.95,28,55,Accesorios,2023-08-28
41,Camisa de Lino,34.99,12,25,Blusas,2023-08-28
42,Zapatillas Deportivas,69.95,16,32,Calzado,2023-08-29
43,Chaqueta de Mezclilla,44.99,14,28,Chaquetas,2023-08-29
44,Pantalones de Yoga,29.95,18,35,Pantalones,2023-08-29
45,Camiseta Deportiva,19.99,25,50,Blusas,2023-08-30
46,Pantalones Formales,49.95,12,24,Pantalones,2023-08-30
47,Zapatos de TacÃ³n,59.99,8,15,Calzado,2023-08-30
48,Blusa Floral,24.99,20,40,Blusas,2023-08-31
49,Corbata de Lino,12.99,15,30,Accesorios,2023-08-31
50,Camiseta de Rayas,14.95,22,45,Blusas,2023-08-31
51,Pantalones de Carga,29.99,14,28,Pantalones,2023-09-01
52,Blusa de Gasa,24.95,18,36,Blusas,2023-09-01
53,Zapatos Planos,39.99,12,24,Calzado,2023-09-01
54,Sombrero de Lana,9.99,20,40,Accesorios,2023-09-02
55,Vestido de Fiesta,69.95,8,16,Vestidos,2023-09-02
56,Chaqueta Deportiva,49.99,15,30,Chaquetas,2023-09-02
57,Corbata a Rayas,12.99,22,44,Accesorios,2023-09-03
58,Pantalones de Cuero,54.95,10,20,Pantalones,2023-09-03
59,Botas de MontaÃ±a,79.99,10,20,Calzado,2023-09-03
