codigo,nombre,precio,cantidad_vendida,cantidad_stock,categoria,fecha_venta
1,Espejo de Pared,54.99,7,14,Decoración,2023-11-26
2,Set de Toallas de Baño,29.99,8,15,Toallas,2024-02-06
3,Juego de Sábanas,29.99,25,50,Ropa de cama,2023-11-04
4,Canasta de Ropa Sucia,34.99,5,12,Almacenamiento,2023-12-29
5,Candelabro de Metal,45.99,6,12,Decoración,2023-12-09
6,Reloj de Pared,29.99,10,20,Decoración,2023-12-21
7,Lámpara de Mesa,39.95,8,18,Iluminación,2024-01-13
8,Juego de Toallas,19.99,20,40,Toallas,2023-11-08
9,Jarrón de Cerámica,39.95,10,20,Decoración,2023-11-18
10,Tetera de Cerámica,24.95,6,12,Utensilios de cocina,2024-02-04
11,Escalera Decorativa,49.99,6,12,Decoración,2024-01-09
12,Escurridor de Cubiertos,12.99,4,10,Utensilios de cocina,2024-01-11
13,Set de Cubiertos,24.95,20,40,Vajilla,2023-12-23
14,Estante Flotante,34.99,8,20,Almacenamiento,2024-01-27
15,Lámpara de Mesa,39.95,8,18,Iluminación,2024-01-13
16,Taburete de Madera,34.99,10,20,Muebles,2023-12-15
17,Escultura de Resina,39.95,4,10,Decoración,2023-12-11
18,Almohada de Plumas,49.95,5,15,Ropa de cama,2023-12-17
19,Espejo de Maquillaje,29.99,5,12,Decoración,2024-01-17
20,Reloj Despertador,19.95,10,18,Decoración,2024-01-31
21,Organizador de Escritorio,24.99,15,28,Organización,2023-11-20
22,Cojines Decorativos,14.99,18,35,Decoración,2023-11-15
23,Set de Cucharas de Madera,9.99,30,60,Utensilios de cocina,2023-11-24
24,Dispensador de Jabón,14.99,15,28,Accesorios de baño,2023-12-27
25,Alfombra de Área,49.95,12,30,Alfombras,2023-11-06
26,Almohada de Plumas,49.95,5,15,Ropa de cama,2023-12-17
27,Set de Vasos de Vidrio,19.99,12,25,Vajilla,2024-01-03
28,Caja de Almacenamiento,29.99,7,15,Almacenamiento,2024-01-23
29,Estante Flotante,34.99,8,20,Almacenamiento,2024-01-27
30,Cojines Decorativos,14.99,18,35,Decoración,2023-11-15
31,Set de Vasos de Vidrio,19.99,12,25,Vajilla,2024-01-03
32,Escalera Decorativa,49.99,6,12,Decoración,2024-01-09
33,Juego de Toallas,19.99,20,40,Toallas,2023-11-08
34,Escultura de Resina,39.95,4,10,Decoración,2023-12-11
35,Cortina de Ducha,24.99,8,15,Cortinas,2024-01-05
36,Set de Vasos de Vidrio,19.99,12,25,Vajilla,2024-01-03
37,Candelabro de Metal,45.99,6,12,Decoración,2023-12-09
38,Dispensador de Jabón,14.99,15,28,Accesorios de baño,2023-12-27
39,Reloj Despertador,19.95,10,18,Decoración,2024-01-31
40,Set de Cubiertos,24.95,20,40,Vajilla,2023-12-23
41,Espejo de Pared,54.99,7,14,Decoración,2023-11-26
42,Juego de Sábanas,29.99,25,50,Ropa de cama,2023-11-04
